,path,title,brand,locations,posting_date,responsibilities,basic_qualifications,preferred_qualifications,education,preferred_education,key_qualifications,nice_to_haves
31577302704,/job/santa-monica/data-engineer/35576/31577302704,Data Engineer,Disney Media &amp; Entertainment Distribution,"['Santa Monica, California, United States ', ' Seattle, Washington, United States']",2022-06-24,NA,NA,NA,NA,NA,NA,NA
30931785936,/job/orlando/sr-data-engineer/391/30931785936,Sr Data Engineer,The Walt Disney Company (Corporate),"['Orlando, Florida, United States ', ' Lake Buena Vista, Florida, United States']",2022-06-13," This Senior Data Engineer will be responsible for partnering with our Decision Science Products (DSP), Decision Science (DS) and Technology team members in various activities around data requirements gathering, data validation scripting and review, developing and monitoring ETL/ELT data pipelines, designing and implementing database schema/tables/views, plus deployment across multiple environments such as DEV, QA/UAT and PRODod. The role will leverage a multitude of technologies to fulfill the work including, but not limited to SQL, Python, Docker, Gitlab, Airflow, Snowflake, and PostgreSQL. 3+ years experience with Python 4+ years experience with SQL 4+ years experience designing, building and maintaining ETL/ELT data pipelines 2+ years experience with cloud based technologies, preferably AWS EMR, EC2, and S3 Experience using Apache Airflow 2+ years leveraging, designing and building relational databases (preferably Snowflake, or Postgres) 2+ years of experience using Gitlab/Github 2+ years of experience using Docker Experience working with large datasets and big data technologies, preferably cloud-based, such as Snowflake, Databricks, or similar Participate in driving best practices around data engineering software development processe Experience leveraging Nielsen data Basic "," 4+ years experience in a Data Engineering role SQL, Python, Docker, Gitlab, Airflow, AWS S3 and Relational Databases 2+ years experience working on a cloud platform 3+ years experience working with data lakes, data warehouses and application databases "," 6-7 years experience in a Data Engineering role Airflow, Gitlab, Snowflake, PostgreSQL ",NA,NA,NA,NA
29787830912,/job/orlando/senior-data-engineer/391/29787830912,Senior Data Engineer,The Walt Disney Company (Corporate),"['Orlando, Florida, United States ', ' Lake Buena Vista, Florida, United States']",2022-06-14," This Senior Data Engineer will be responsible for partnering with our Decision Science Products (DSP), Decision Science (DS) and Technology team members in various activities around data requirements gathering, data validation scripting and review, developing and monitoring ETL/ELT data pipelines, designing and implementing database schema/tables/views, plus deployment across multiple environments such as DEV, QA/UAT and PROD. The role will leverage a multitude of technologies to fulfill the work including, but not limited to SQL, Python, Docker, Gitlab, Airflow, and Snowflake. Basic "," 3-5 years of experience with ELT/ETL data pipeline development and maintenance 3+ years proven experience and expertise using SQL and Python Experience with developing in a multi environment (Dev, QA, Prod, etc.) and DEVOP procedures for code deployment/promotion. 2+ years leveraging, designing and building relational databases (preferably Snowflake, or PostgreSQL) 2+ years of experience managing and deploying code using a source control product such as GitLab/GitHub "," Knowledgeable with Disney Parks attendance, reservations and/or products Experience with cloud based technologies, preferably AWS EMR, EC2, and S3 Experience leveraging containerization technologies such as Docker or Kubernetes Hands-on knowledge of job scheduling software like Apache Airflow, Amazon MWAA, or UC4 ",NA,NA,NA,NA
31050244272,/job/seattle/senior-data-engineer/391/31050244272,Senior Data Engineer,Disney Media &amp; Entertainment Distribution,"['Seattle, Washington, United States ', ' New York, New York, United States']",2022-06-15," Create and maintain optimal data pipeline architecture Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs. Design, develop, test, deploy, maintain and improve software Participate in the design and implementation of core Platforms and Content Distribution systems Collaborate with internal & external teams to define requirements and delivery schedules for projects Design and deliver high quality code for small to medium size projects and make critical contributions working with others on larger projects Work with the team to iteratively improve development practices and processes Build strong relationships with the team while collectively finding opportunities for improvements around quality and automation Basic ",NA,NA,NA,NA,NA,NA
31577226400,/job/burbank/data-engineer-ii/35576/31577226400,Data Engineer II,Disney Media &amp; Entertainment Distribution,"['Burbank, California, United States']",2022-06-22,NA,NA,NA,NA,NA,NA,NA
31577302688,/job/seattle/sr-data-engineer/35576/31577302688,Sr Data Engineer,Disney Media &amp; Entertainment Distribution,"['Seattle, Washington, United States']",2022-06-24,NA,NA,NA,NA,NA,NA,NA
31577236336,/job/lake-buena-vista/sr-data-engineer-data-products-and-platforms/35576/31577236336,"Sr Data Engineer, Data Products &amp; Platforms","Parks, Experiences and Products","['Lake Buena Vista, Florida, United States ', ' Santa Monica, California, United States ', ' Burbank, California, United States ', ' Glendale, California, United States ', ' Seattle, Washington, United States']",2022-06-23," As a Senior Data Engineer, you will also participate in discovery processes with stakeholders to identify business requirements and expected outcomes. The Senior Data Engineer will also participate in operational support and maintenance of products and services as well as mentor junior team members. Design and engineer high-performance/large scale data engineering projects, producing maintainable and secure code with automated testing in a continuous integration environment. Develop production grade, consumable data views Ensure solutions support all functional and non-functional requirements Participate in operational support and maintenance of products and services Ability to participate in discovery processes with stakeholders to identify business requirements and expected outcomes Ability to mentor to junior team members Coordinate and collaborate with offshore teams Basic "," Relevant cloud data engineering work experience Ability to perform across multiple phases of development for multiple complex projects, including technical design, build, and end-to-end testing. Passionate about delivering data engineering projects and features in a team environment. Demonstrate the ability to quickly learn new technologies Troubleshooting skills, ability to determine impacts, ability to resolve complex issues, and ability to exercise sound judgment and initiative in stressful situations. Strong oral and written communication and interpersonal skills Must have technical qualifications: Fundamentals of data pipelining, ELT/ETL, data architecture, and the overall data lifecycle Cross-platform development languages: Python preferred (Java specialty OK) Snowflake data warehouse exposure and experience SQL and scripting proficiency Relational database and NoSQL (ex: MongoDB, DynamoDB, Redis, HBase, Cassandra) database experience Cloud technologies including AWS and Google Cloud Platform (GCP) "," Queuing Technology – Kafka, RabbitMQ, Redis, SQS, Kinesis Streams, Kinesis Firehose Data Processing – EMR, Spark, Glue, Spark Streaming/Flink Containers - Docker, Docker Swarm, Docker Applications CICD - Jenkins/Codebuild/GitLab Security - IAM roles, wire encryption, KMS, Kerberos, Authz, AD Infrastructure as Code - Terraform, Cloud Formation, CDK ",": Bachelor's degree in Computer Science, Engineering, Information Technology, or related field ",NA,NA,NA
31577251520,/job/seattle/senior-data-engineer-returnship-path-forward-program/35576/31577251520,"Senior Data Engineer, Returnship (Path Forward Program)",Disney Media &amp; Entertainment Distribution,"['Seattle, Washington, United States']",2022-06-23,NA,NA,NA,NA,NA,NA,NA
26606089616,/job/santa-monica/data-scientist/391/26606089616,Data Scientist,Disney Media &amp; Entertainment Distribution,"['Santa Monica, California, United States ', ' New York, New York, United States']",2022-06-12, Create automated data feeds using various SQL orchestration platforms to support data science products. Participate and engage in product-development meetings and translate business requirements to technical action items for data feeds and reporting. Analyze the UX of data science products and provide feedback to management/product teams to implement. Leverage cloud SQL software and open-source tools to wrangle huge amounts of data across dozens of sources into a unified data model. Interact with business stakeholders (both internal and external) to understand macro-level organization strategy and help drive forward data science initiatives. Assist in development and orchestration of processes that egress data to storage repositories and API endpoints. Collaborate on rapid prototype MVP (minimum-viable product) solutions for emerging opportunities. Translate business language and requirements into technical action items. Basic ," 2-3+ years of experience in data engineering, data science or software engineering. Strong experience in Google Cloud, AWS, or other cloud platforms a must. Experience in end-to-end data quality assurance analysis, with ability to identify and address the ‘why’ in complex pipeline processes. A desire to work directly with business stakeholders and understand strategic decision making in a communication-heavy data science role. Proven ability in developing production-ready data pipelines utilizing orchestration applications. Strong experience using SQL to transform and summarize data (Spark, Beam, Hadoop, and other big data processing software a plus). Innovative thinker capable of operating both in a strategic capacity (big-picture perspective, asks ""why"") and a hands-on/execution capacity (detail-oriented, conscientious). Great organization, communication, and teamwork skills. Self-motivated with the ability to work and learn independently. Required Education B.A. or B.S. (MS, MBA, or PhD a plus) in a quantitative field (Math/Statistics, CS, Engineering, Business, Economics, experimental science, or similar) ",NA," B.A. or B.S. (MS, MBA, or PhD a plus) in a quantitative field (Math/Statistics, CS, Engineering, Business, Economics, experimental science, or similar) ",NA,NA,NA
31045854560,/job/seattle/senior-data-scientist/391/31045854560,Senior Data Scientist,Disney Media &amp; Entertainment Distribution,"['Seattle, Washington, United States ', ' New York, New York, United States']",2022-06-15," The Data Scientist is a critical position within DMED Technology who specializes in applying statistical methods to meet optimization, personalization, recommendations and efficiency related challenges, in close collaboration with engineering and business partners. You will be primarily focused on delivering value by developing algorithms that drive integral underlying functionality of our various entertainment services. In addition, throughout the algorithm development process, you will perform thorough data analyses and present these findings to stakeholders across the organization to deliver insights about our products and our customers. Collaboration is key to success at Disney, and you are expected to build bridges and maintain communication across various teams throughout any given project, so strong communication skills are a must.  Areas of responsibility may include, but are not limited to: Translating business problems into an actionable data science project Presenting analyses and models in a clear, easy to understand manner Developing, deploying, and supporting machine learning models Building reports and real-time dashboards for our stakeholders Developing statistical experiments and analyzing the results Process, cleanse, and verify the integrity of data Participating in data validation efforts Data discovery and exploration tasks Basic "," Master’s degree in a quantitative discipline (statistics, data science, mathematics, economics, etc.) 5-8 years of work experience in data science, statistics, or predictive analytics Deep knowledge of statistical principles and the underlying data assumptions on which they rely Hands-on experience with at least 3 of the following statistical models/techniques: recommendation systems, neural networks, optimization and simulation, churn models, logistic regression, linear regression, forecasting, A/B Testing, clustering and segmentation, etc. Experience working with R, Python, SAS, or other statistical programming languages The ability to effectively communicate technical ideas to both technical and non-technical audiences Familiarity with databases and data retrieval, including SQL A passion for data and technology ", Previous experience in entertainment Knowledge of the video streaming industry Hands-on experience with AWS or other similar cloud services Demonstrated delivery of machine learning techniques in real-time applications ,NA,NA,NA,NA
