,Unnamed: 0,path,title,brand,locations,posting_date,responsibilities,basic_qualifications,preferred_qualifications,education,preferred_education,key_qualifications,nice_to_haves
0,29186336448.0,/job/orlando/data-engineer/391/29186336448,Data Engineer,The Walt Disney Company (Corporate),"['Orlando, Florida, United States ', ' Lake Buena Vista, Florida, United States']","Jun. 07, 2022"," work assignments may cover activities such as data requirements gathering, source-to-target mapping, data validation scripting and review, data visualization, developing and monitoring etl/elt data pipelines, designing and implementing database schema/tables/views, and producing datasets as input to science models and visualizations.  technologies leveraged to fulfill the work include, but not limited to, sql (mainly snowflake and postgresql), python, docker, gitlab, and airflow. basic "," 1-3 years of experience with elt/etl data pipeline development and maintenance proven experience and expertise using python and sql (preferably with snowflake) experience with developing in a multi environment (dev, qa, prod, etc.) and devop procedures for code deployment/promotion experience developing and maintaining automated job schedulers (preferably with airflow) solid understanding of relational database design and proficiency "," experience with resort/hotel reservation data, preferably disney master’s degree (computer science, mathematics, engineering or related field preferred) experience working with large datasets and big data technologies, preferably cloud-based, such as snowflake, databricks, or similar knowledgeable on cloud architecture and product offerings, preferably aws experience managing and deploying code using a source control product such as gitlab/github experience utilizing docker ",,,,
1,27143372464.0,/job/orlando/sr-data-engineer/391/27143372464,Sr Data Engineer,The Walt Disney Company (Corporate),"['Orlando, Florida, United States ', ' Lake Buena Vista, Florida, United States']","Apr. 13, 2022"," this senior data engineer will be responsible for partnering with our decision science products (dsp), decision science (ds) and technology team members in various activities around data requirements gathering, data validation scripting and review, developing and monitoring etl/elt data pipelines, designing and implementing database schema/tables/views, plus deployment across multiple environments such as dev, qa/uat and prodod. the role will leverage a multitude of technologies to fulfill the work including, but not limited to sql, python, docker, gitlab, airflow, snowflake, and postgresql. 3+ years experience with python 4+ years experience with sql 4+ years experience designing, building and maintaining etl/elt data pipelines 2+ years experience with cloud based technologies, preferably aws emr, ec2, and s3 experience using apache airflow 2+ years leveraging, designing and building relational databases (preferably snowflake, or postgres) 2+ years of experience using gitlab/github 2+ years of experience using docker experience working with large datasets and big data technologies, preferably cloud-based, such as snowflake, databricks, or similar participate in driving best practices around data engineering software development processe experience leveraging nielsen data basic "," 4+ years experience in a data engineering role sql, python, docker, gitlab, airflow, aws s3 and relational databases 2+ years experience working on a cloud platform 3+ years experience working with data lakes, data warehouses and application databases "," 6-7 years experience in a data engineering role airflow, gitlab, snowflake, postgresql ",,,,
2,29809325872.0,/job/orlando/data-engineering-manager/391/29809325872,Data Engineering Manager,The Walt Disney Company (Corporate),"['Orlando, Florida, United States ', ' Lake Buena Vista, Florida, United States']","May 25, 2022"," the data engineering manager role will have dual hands-on responsibilities with snowflake administration support and data engineering services across multiple projects and ad-hoc/prototyping initiatives. as a snowflake administrator you’d be involved in activities such as performance tuning, monitoring, data sharing, data exchange, database/warehouse creation and tuning, time travel, and zero-copy cloning. while handling data engineering needs, you may be engaged in activities such as data validation scripting and review, data visualization, developing and monitoring etl/elt data pipelines, designing and implementing database schema/tables/views, implementing data services api’s, performance tuning, and evolving our data analytics platform.  beyond the needs of projects, this role will help research, define, recommend and implement various technical solutions across the ddsi department. examples of activities may include participating in the architectural evolution of our data engineering patterns, frameworks, systems, and platforms including defining best practices, standards, principles, and policies. additional engagement may include researching, recommending and implementing items such as data lakes and airflow department wide services. basic ",,,,,,
3,4469108096.0,/job/santa-monica/senior-data-engineer/391/4469108096,Senior Data Engineer,Hulu,"['Santa Monica, California, United States']","Feb. 05, 2021",,,,,,,
4,28413716960.0,/job/new-york/sr-data-engineer/391/28413716960,Sr Data Engineer,Disney Media &amp; Entertainment Distribution,"['New York, New York, United States ', ' Santa Monica, California, United States']","May 03, 2022"," work on large scale data processing and analysis to improve the efficacy of marketing strategies on the disney streaming’s business. develop, scale, and optimize the data pipelines and platform components to create a unified customer profile and enable analytics insights. participate in the design, architecture, and implementation of data-engineering infrastructure. champion engineering excellence, including software design patterns, code reviews and automated unit/functional testing. continuously optimize service response time and address challenges such as improving service availability and scalability collaborate with product & program managers, researchers, analysts and marketers in an open, creative, and agile environment. basic "," 5+ years of professional programming and design experience in object oriented python/scala strong knowledge of systems/application design & architecture experience engineering big-data solutions using technologies such as databricks, emr, s3, spark experience deploying and running aws-based data solutions and familiar with tools such as cloud formation, kinesis, and athena experience with graph-based data workflows using tools such as apache airflow "," knowledge of metadata management, data lineage, and principles of data governance excellent leadership and communication skills. experience or familiarity with marketing technology stacks, integrating with ml platforms, experimentation frameworks or full stack development is a plus ",,,,
5,25013171712.0,/job/burbank/data-engineer-ii/391/25013171712,Data Engineer II,Disney Media &amp; Entertainment Distribution,"['Burbank, California, United States']","Mar. 08, 2022"," leverage your data engineering skills to impact our business by taking ownership of key projects requiring coding and data pipelines collaborate with product managers, software engineers and data engineers to design, implement, and deliver successful data solutions define technical requirements and implementation details for data solutions design, build and optimize performant databases, data models, integrations and etl pipelines maintain detailed documentation of your work and changes to support data quality and governance ensure high operational efficiency and quality of your solutions to meet slas and support commitment to the customers be an active participant and advocate of agile/scrum practices to ensure health and process improvements for your team basic ",,,,,,
6,29787830912.0,/job/orlando/senior-data-engineer/391/29787830912,Senior Data Engineer,The Walt Disney Company (Corporate),"['Orlando, Florida, United States ', ' Lake Buena Vista, Florida, United States']","May 25, 2022"," this senior data engineer will be responsible for partnering with our decision science products (dsp), decision science (ds) and technology team members in various activities around data requirements gathering, data validation scripting and review, developing and monitoring etl/elt data pipelines, designing and implementing database schema/tables/views, plus deployment across multiple environments such as dev, qa/uat and prod. the role will leverage a multitude of technologies to fulfill the work including, but not limited to sql, python, docker, gitlab, airflow, and snowflake. basic "," 3-5 years of experience with elt/etl data pipeline development and maintenance 3+ years proven experience and expertise using sql and python experience with developing in a multi environment (dev, qa, prod, etc.) and devop procedures for code deployment/promotion. 2+ years leveraging, designing and building relational databases (preferably snowflake, or postgresql) 2+ years of experience managing and deploying code using a source control product such as gitlab/github "," knowledgeable with disney parks attendance, reservations and/or products experience with cloud based technologies, preferably aws emr, ec2, and s3 experience leveraging containerization technologies such as docker or kubernetes hands-on knowledge of job scheduling software like apache airflow, amazon mwaa, or uc4 ",,,,
7,30633478960.0,/job/orlando/senior-data-engineer/391/30633478960,Senior Data Engineer,The Walt Disney Company (Corporate),"['Orlando, Florida, United States ', ' Lake Buena Vista, Florida, United States']","Jun. 08, 2022"," work assignments may cover activities such as data requirements gathering, source-to-target mapping, data validation scripting and review, developing and monitoring etl/elt data pipelines, designing and implementing database schema/tables/views, and producing datasets as input to science models and visualizations.  technologies generally leveraged to fulfill the work include, but not limited to, sql, python, docker, gitlab, airflow, lambda, snowflake, and postgresql. basic "," 3-5 years of experience with elt/etl data pipeline development and maintenance proven experience and expertise using python, sql, and cloud storage (such as aws s3) experience with developing in a multi environment (dev, qa, prod, etc.) and devop procedures for code deployment/promotion. strong understanding of relational database design and proficiency utilizing a database such as postgresql, or snowflake ",,,,,
8,30518395104.0,/job/new-york/senior-data-engineer-personalization/391/30518395104,Senior Data Engineer (Personalization),Disney Streaming,"['New York, New York, United States ', ' Seattle, Washington, United States']","Jun. 06, 2022"," partner with technical and non-technical colleagues to understand algorithm feature and data requirements work with engineering teams to collect required data from internal and external systems develop and maintain etl routines using orchestration tools such as airflow and jenkins collaborate with machine learning practitioners to design and build data forward solutions deploy scalable streaming and batch data pipelines to support petabyte scale datasets enforce common data design patterns to increase code maintainability create etl architecture designs and conduct reviews perform ad hoc data analysis as necessary partner with team leads to identify, design, and implement internal process improvements drive and maintain a culture of quality, innovation, and experimentation work in an agile environment that focuses on collaboration and teamwork basic "," 3+ years of data engineering experience deep knowledge of the python data ecosystem experience in building large datasets and scalable services experience deploying and running services in aws and in engineering big-data solutions using technologies like databricks, emr, s3, and spark experience loading and querying cloud-hosted databases such as redshift and snowflake experience designing and developing backend microservices for large scale distributed systems using grpc or rest experience with large-scale distributed data processing systems and cloud infrastructure such as aws or gcp and container systems such as docker or kubernetes excellent communication and people engagement skills "," knowledge of the scala and java data ecosystems experience building streaming pipelines using kafka, spark, flink, or samza drive and maintain a culture of quality, innovation, and experimentation mentor colleagues on best practices and technical concepts of building large scale solutions ",,,,
9,28923405008.0,/job/seattle/senior-data-engineer/391/28923405008,Senior Data Engineer,The Walt Disney Company (Corporate),"['Seattle, Washington, United States']","May 16, 2022"," develop and maintain automated data solutions that ingest, transform and generate insights in the form of curated data. support and maintain the shared consumer data platform with regard to data organization, access, security and role appropriate access. analyze and model data to design data solutions that provide business insights. recognizing patterns and opportunities to consolidate implementations and/or create standards have a growth mindset and a desire to learn be proactive and have initiative active participation in the team provide clear and concise communication to technical and non-technical audiences engage in dialectics to advocate for the best ideas basic "," sql and python in databricks data engineering, etl development and data warehousing data analysis and data modeling data architecture familiarity with cloud concepts 5 or more years of data engineering or related experience "," data engineering on cloud cost and usage data operating in azure, gcp or aws clouds ",,,,
