,path,title,brand,locations,posting_date,responsibilities,basic_qualifications,preferred_qualifications,education,preferred_education,key_qualifications,nice_to_haves
28413716960,/job/new-york/sr-data-engineer/391/28413716960,Sr Data Engineer,Disney Media &amp; Entertainment Distribution,"['New York, New York, United States ', ' Santa Monica, California, United States']","May 03, 2022"," Work on large scale data processing and analysis to improve the efficacy of marketing strategies on the Disney Streaming’s business. Develop, scale, and optimize the data pipelines and platform components to create a unified customer profile and enable analytics insights. Participate in the design, architecture, and implementation of data-engineering infrastructure. Champion engineering excellence, including software design patterns, code reviews and automated unit/functional testing. Continuously optimize service response time and address challenges such as improving service availability and scalability Collaborate with product & program managers, researchers, analysts and marketers in an open, creative, and agile environment. Basic "," 5+ years of professional programming and design experience in object oriented Python/Scala Strong knowledge of systems/application design & architecture Experience engineering big-data solutions using technologies such as Databricks, EMR, S3, Spark Experience deploying and running AWS-based data solutions and familiar with tools such as Cloud Formation, Kinesis, and Athena Experience with graph-based data workflows using tools such as Apache Airflow "," Knowledge of metadata management, data lineage, and principles of data governance Excellent leadership and communication skills. Experience or familiarity with marketing technology stacks, integrating with ML platforms, experimentation frameworks or full stack development is a plus "," Bachelor’s or Master’s Degree in Computer Science, Information Systems or related field  ",NA,NA,NA
30518395104,/job/new-york/senior-data-engineer-personalization/391/30518395104,Senior Data Engineer (Personalization),Disney Streaming,"['New York, New York, United States ', ' Seattle, Washington, United States']","Jun. 06, 2022"," Partner with technical and non-technical colleagues to understand algorithm feature and data requirements Work with Engineering teams to collect required data from internal and external systems Develop and maintain ETL routines using orchestration tools such as Airflow and Jenkins Collaborate with machine learning practitioners to design and build data forward solutions Deploy scalable streaming and batch data pipelines to support petabyte scale datasets Enforce common data design patterns to increase code maintainability Create ETL architecture designs and conduct reviews Perform ad hoc data analysis as necessary Partner with team leads to identify, design, and implement internal process improvements Drive and maintain a culture of quality, innovation, and experimentation Work in an Agile environment that focuses on collaboration and teamwork Basic "," 3+ years of data engineering experience Deep knowledge of the Python data ecosystem Experience in building large datasets and scalable services Experience deploying and running services in AWS and in engineering big-data solutions using technologies like Databricks, EMR, S3, and Spark Experience loading and querying cloud-hosted databases such as Redshift and Snowflake Experience designing and developing backend microservices for large scale distributed systems using gRPC or REST Experience with large-scale distributed data processing systems and cloud infrastructure such as AWS or GCP and container systems such as Docker or Kubernetes Excellent communication and people engagement skills "," Knowledge of the Scala and Java data ecosystems Experience building streaming pipelines using Kafka, Spark, Flink, or Samza Drive and maintain a culture of quality, innovation, and experimentation Mentor colleagues on best practices and technical concepts of building large scale solutions ",NA,NA,NA,NA
19156684960,/job/new-york/executive-director-data-engineering-content-vertical/391/19156684960,"Executive Director, Data Engineering, Content Vertical",Disney Streaming,"['New York, New York, United States ', ' Santa Monica, California, United States']","Mar. 30, 2022"," Build high impact data products at Disney Streaming focused on content data. Manage, build and grow the data engineering teams. Offer organizational design thinking to best structure the team and equip them for success in their goals Drive data architecture and systems planning Translate requirements between product management and business stakeholders while leveraging architects drive strong technical design and implementation practices with your engineering teams Define the vision and strategy for data engineering products and capabilities aligned to overall organizational and business objectives Promote and develop engineering best practices, guidelines, procedures and repeatable, agile and scalable frameworks Develop systems thinking focus for your teams including: the creation of clear specifications framework, architectural plan covering systems, data and solutions architectures, acceptance criteria and success measures, instrumentation and Service Level capabilities, Quality tooling for test driven development and ongoing data quality testing in production, Measurement of data storage/query cost, Frame accessibility/usability tooling, Ensure products/solutions are built to address core business questions and operational needs, actively bring the product back to the business model and strategy Build a network. Establish and grow relationships with Disney Streaming executives and senior leaders across data, technology, product and business teams Basic "," Demonstrated leadership skills and ability attract, build and develop successful product teams 15+ years in data or software engineering with 10+ years managing teams. Successful track record of building data products and capabilities Highly analytical and collaborative qualities with strong technical, strategic and problem-solving skills Experience solving problems in an ambiguous environment Experience utilizing both qualitative analysis and quantitative analysis techniques and familiarity with common data science models and approaches to problem solving. Generally: the ability to plan for what analysts and data scientists need to deliver successfully Ability to thrive in a dynamic and fast-paced operational environment, drive change, and collaborate with a variety of individuals and organizational partners Experience demonstrating leadership, self-motivation, accountability, and being a standout colleague. C-Suite communication skills A broad, enterprise-wide view of the business and strong appreciation for strategy, processes and capabilities, enabling technologies, and governance Demonstrated ability to create develop business plan and ability to articulate long-term value proposition Practical experience with agile methodologies and scrum Self-motivated with pragmatic approach to deliver quality solutions iteratively and intellectual curiosity to grow and learn "," Content / Media / Streaming or subscriber-based industry experience Management or Strategy consulting background Knowledge of SQL and one or more big data warehouse technologies e.g. Snowflake, Redshift Experience with delivering large scale enterprise applications using big data tech such as S3, Hadoop, Spark Experience or knowledge of No-SQL - DB’s - Cassandra, MongoDB, Redis, Couchbase Experience with Tableau, Looker or other visualization tools ",NA,NA,NA,NA
28047611552,/job/bristol/senior-data-engineer-backend-ad-platform-bi/391/28047611552,"Senior Data Engineer, Backend – Ad Platform BI",Disney Media &amp; Entertainment Distribution,"['Bristol, Connecticut, United States']","Apr. 27, 2022"," The Sr. Data Engineer will help develop the next generation of enterprise data warehouses (EDW) to deliver batch and real time data for analytics and reporting capabilities to the Linear Ad Sales business unit. Design and implement the different stages of the EDW data pipeline, using tools such as Qlik Replicate, Informatica, Oracle ExaCC Exadata, SAP Data Services, Oracle GoldenGate, Oracle BigData Extension, and Kalido DIW Experience developing with a mix of languages (Java, Python, SQL, etc.) and frameworks to implement data processing pipelines. Experience with real-time and scalable systems development using Kafka, Apache Flink or Kafka Streams. Experience building robust and scalable data integration (ETL) pipelines using SQL, Python and Spark. Have a technology toolbox – Hands on experience with newer technologies relevant to the data space such as Kafka, Spark, and Snowflake. You'll have plenty of experience with developing in a cloud native environment with many different technologies. Problem solver – Enjoy new and meaningful technology or business challenges which require you to think and respond quickly. Passion and creativity – Are passionate about data, technology, & creative innovation. Preferred ",NA," Media Ad Sales in Linear & Digital experience preferred Experience with Qlik Replicate Experience with AWS, Azure, Kafka, Snowflake, Airflow or other cloud technologies "," Bachelor’s degree or better in Computer Science or a related technical field or equivalent job experience. Experience with open-source tools such as Kafka, Flink, Spark, and Kubernetes. Experience working in AWS cloud environment. Prior experience building scalable platforms – handling large scale data, operationalizing clusters in cloud environment. Practical Knowledge of Linux or Unix shell scripting. Strong sense of ownership, urgency, and drive Proficiency with agile development methodologies shipping features every two weeks. 5+ years as a Sr. Data Engineer or Data Engineer Architect. 5+ years of experience working with SQL Server, Redshift, Aurora, Oracle and Snowflake databases or similar technologies At least 5+ years development experience in a data warehousing/ Data Mart or big data environment At least 3+ years with data warehouse / Data Mart design experience Experience with PL/SQL, SQL, database performance Tuning and optimization. Experience with Python Programming language. Experience with ML/AI. Experience with ETL and other data integration tools such as Informatica, SAP Data Services, Oracle GoldenGate, and Tidal Enterprise scheduler. Robust data analysis and root cause analysis skills Ability to multi-task and prioritize multiple distinct projects Ability to manage working across different time zones effectively Ability to anticipate technical challenges and develop contingency plans Self-motivated independent thinker and collaborative team member Excellent analytical and problem-solving skills Excellent verbal and written communication skills  ",NA,NA,NA
26606089616,/job/santa-monica/data-scientist/391/26606089616,Data Scientist,Disney Media &amp; Entertainment Distribution,"['Santa Monica, California, United States ', ' New York, New York, United States']","Apr. 03, 2022", Leverage cloud SQL software and open-source tools to wrangle huge amounts of data across dozens of sources into a unified data model. Interact with business stakeholders (both internal and external) to understand macro-level organization strategy and help drive forward data science initiatives. Research and evaluate software in the marketplace to improve reliability and stability of our core data product. Assist in development and orchestration of processes that egress data to storage repositories and API endpoints. Collaborate on rapid prototype MVP (minimum-viable product) solutions for emerging opportunities. Translate business language and requirements into technical action items Basic ," 2-3+ years of experience in data science (preferably in the advertising sales space) or data engineering. Strong experience in Google Cloud, AWS, or other cloud platforms a must. A desire to work directly with business stakeholders and understand strategic decision making in a communication-heavy data science role. Proven ability in developing production-ready data pipelines utilizing orchestration applications. Strong experience using SQL to transform and summarize data (Spark, Beam, Hadoop, and other big data processing software a plus) Innovative thinker capable of operating both in a strategic capacity (big-picture perspective, asks ""why"") and a hands-on/execution capacity (detail-oriented, conscientious) Great organization, communication, and teamwork skills. Self-motivated with the ability to work and learn independently Required Education B.A. or B.S. (MS, MBA, or PhD a plus) in a quantitative field (Math/Statistics, CS, Engineering, Business, Economics, experimental science, or similar) ",NA," B.A. or B.S. (MS, MBA, or PhD a plus) in a quantitative field (Math/Statistics, CS, Engineering, Business, Economics, experimental science, or similar) ",NA,NA,NA
28818903776,/job/new-york/data-analyst/391/28818903776,Data Analyst,Disney Streaming,"['New York, New York, United States']","May 09, 2022"," Responsibilities Design and implement core metrics and dimensions to be leveraged by the business in identifying the success of all business decisions Design and implement scalable, intuitive data structures for our subscriber pipeline to answer the analytical and business questions of today and tomorrow Partner with stakeholders performing quantitative analyses to provide detailed insight on the complexities of our subscriber data Create presentations and visualizations to communicate subscriber data patterns and insights for both technical and non-technical audiences Champion data quality by fostering relationships with engineering partners and prioritizing technical debt when possible Develop documentation for wide-ranging audience to use core subscriber data as intended Key ",NA,NA,NA,NA," 2+ years work experience developing in SQL, especially in an ETL processing pipeline 1+ years of analytical experience Familiarity with Python/R or other statistical programming languages Familiarity with data exploration and data visualization tools like Tableau, Looker, Chartio, etc. Strong communication skills, as well as written and verbal presentation skills Degree in an analytical field "," Understanding of statistics concepts (e.g., hypothesis testing, regression analysis) Familiarity with Airflow "
29718450912,/job/new-york/senior-data-analyst-marketing-science/391/29718450912,"Senior Data Analyst, Marketing Science",Disney Streaming,"['New York, New York, United States']","May 24, 2022"," Build, sustain and scale econometric models (MMM) for Disney Streaming Services with support from data engineering and data product teams Quantify ROI on marketing investment, determine optimal spend range across the portfolio, identify proposed efficiency caps by channel, set budget amounts and inform subscriber acquisition forecasts Support ad hoc strategic analysis to provide recommendations that drive increased return on spend through shifts in mix, flighting, messaging and tactics, and that help cross-validate model results Provide insights to marketing and finance teams, helping to design and execute experiments to move recommendations forward based on company goals (e.g., subscriber growth, LTV, etc) Support long-term MMM (et.al.) automation, productionalization and scale with support from data engineering and product Build out front-end reporting and dashboarding in partnership with data product analysts and data engineers to communicate performance metrics across services, markets, channels and subscriber type Basic "," At least 2 years of experience in a marketing science / analytics role with understanding of measurement and optimization best practices Coursework or direct experince in applied econometric modeling, ideally in support of measure marketing efficiency and optimize spend, flighting and mix to maximize return on ad spend (i.e., MMM) Exposure / understanding of media attribution practices for digital and linear media, the data required to power them and methodologies for measurement Understanding of incrementality experiments to validate model recommendations and gain learnings on channel/publisher efficacy Exposure to / familiarity with with BI/data concepts and experience building out self-service marketing data solutions Experience in SQL as well as statistical modeling platforms (Python, R, etc Required Education BA/BS in a quantitative discipline ",NA, BA/BS in a quantitative discipline ,NA,NA,NA
27868800464,/job/new-york/data-analyst-sports-content/391/27868800464,"Data Analyst, Sports Content",Disney Streaming,"['New York, New York, United States']","Apr. 24, 2022"," Build analysis, data visualizations, and multi-functional reporting that provides critical support to the operations and decision-making of the organization Facilitate the analytical needs of the business, collaborate in the design of diagnostic solutions, and deliver outstanding data products and insights Act as a liaison between business units & data engineering to drive key operational metrics for enabling business success and value-addition within the data & analytics domain Use internal and external analytics tools, SQL, and scripting languages to access and analyze multivariate data Translate business functional requirements into technical specifications and, conversely, technical approaches into easily digestible terms Develop and foster positive relationships and transparent dialogue with the business community and data colleagues Provide analytics expertise to key business partners regarding data & analytics questions Support business units, data teams and product/program management with process improvements for optimized delivery of diverse data requests Take personal accountability for delivery of projects and committed timelines Support business partners in adopting reporting solutions and business intelligence tools for self-service Basic "," 2+ years of analytical experience Expert SQL skills for complex querying, analysis, performance optimization, and persisting data Excellent data visualization skills with tools like Tableau, Looker, ThoughtSpot, MicroStrategy, etc. Experience working in a “big-data” environment (Hadoop, Hive, Presto, Snowflake, Redshift, etc.) Experience demonstrating analytical concepts to craft an actionable story for technical and non-technical audiences Understanding of data warehousing concepts, design, modeling and data engineering Experience taking vague requirements and transforming them into crisp insights Intense curiosity, high intellectual and analytical horsepower, passionate pursuit of analytics driven insights Demonstrable ability to build strong working relationships with business partners and technical colleagues Outstanding written and oral communication skills Effective presentation skills across a diverse audience ",NA,NA,NA,NA,NA
25371169696,/job/new-york/sr-data-analyst/391/25371169696,Sr Data Analyst,Disney Streaming,"['New York, New York, United States ', ' Santa Monica, California, United States']","Mar. 14, 2022"," Build analysis, data visualizations, and multi-functional reporting that provides critical support to the operations and decision-making of the organization Facilitate the analytical needs of the business, collaborate in the design of diagnostic solutions, and deliver outstanding data products and insights Act as a liaison between business units & data engineering to drive key operational metrics for enabling business success and value-addition within the data & analytics domain Use internal and external analytics tools, SQL, and scripting languages to access and analyze multivariate data Translate business functional requirements into technical specifications and, conversely, technical approaches into easily digestible terms Develop and foster positive relationships and transparent dialogue with the business community and data colleagues Provide analytics expertise to key business partners regarding data & analytics questions Support business units, data teams and product/program management with process improvements for optimized delivery of diverse data requests Take personal accountability for delivery of projects and committed timelines Support business partners in adopting reporting solutions and business intelligence tools for self-service Basic "," 4+ years of analytical experience Expert SQL skills for complex querying, analysis, performance optimization, and persisting data Excellent data visualization skills with tools like Tableau, Looker, ThoughtSpot, MicroStrategy, etc. Experience working in a “big-data” environment (Hadoop, Hive, Presto, Snowflake, Redshift, etc.) Experience demonstrating analytical concepts to craft an actionable story for technical and non-technical audiences Understanding of data warehousing concepts, design, modeling and data engineering Experience taking vague requirements and transforming them into crisp insights Intense curiosity, high intellectual and analytical horsepower, passionate pursuit of analytics driven insights Demonstrable ability to build strong working relationships with business partners and technical colleagues Outstanding written and oral communication skills Effective presentation skills across a diverse audience "," Experience in the streaming media industry or other subscription-based service Experience in the technology industry, knowledge of data products Python experience writing, managing and deploying code ",NA,NA,NA,NA
27686384192,/job/new-york/sr-data-analyst-sports-analytics/391/27686384192,"Sr Data Analyst, Sports Analytics",Disney Media &amp; Entertainment Distribution,"['New York, New York, United States']","May 10, 2022",NA,NA,NA,NA," BA or BS in a quantitative field (Business, Math/Statistics, Economics, CS, Engineering, or similar)  ",NA,NA
